brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
,,generic,root,NULL,3541,3541,3541,0,0,0,0,0,,,,2002_january,
,,generic,root,Unknown,3,1,0,3,0,0,0,0,,,,2002_january,
,,generic,root,CLICKTAG,1044,86,0,1044,3,3,0.002873563218391,0.002873563218391,,,,2002_january,
,,generic,root,GooglePlay,10,9,2,8,1,1,0.1,0.125,,,,2002_january,
,,generic,root,WAPPIN,3,1,0,3,3,0,0,0,,,,2002_january,
,,generic_mobile,generic,GooglePlay,81,4,0,81,2,1,0.012345679012346,0.012345679012346,,,,2002_january,
,,generic_mobile,generic,JAVA_APP,12,1,0,12,1,1,0.083333333333333,0.083333333333333,,,,2002_january,
,,generic_mobile,generic,NULL,4019,4017,4017,2,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,SMS_WAP,8,0,0,8,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,CLICKTAG,1699,994,0,1699,57,57,0.033549146556798,0.033549146556798,,,,2002_january,
,,generic_mobile,generic,Unknown,106,98,0,106,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,WAPPIN,11,9,0,11,2,1,0.090909090909091,0.090909090909091,,,,2002_january,
,,generic_xhtml,generic_mobile,SMS_WAP,1,1,0,1,0,0,0,0,,,,2002_july,
,,generic_xhtml,generic_mobile,NULL,320,320,320,0,0,0,0,0,,,,2002_july,
generic web browser,,generic_web_browser,generic,NULL,16,16,16,0,0,0,0,0,,,,1994_january,
generic web browser,,generic_web_browser,generic,CLICKTAG,6,1,0,6,0,0,0,0,,,,1994_january,
Nokia,,nokia_generic_series60,nokia_generic_series40,NULL,53,53,53,0,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,JAVA_APP,1,1,0,1,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,CLICKTAG,125,20,0,125,4,4,0.032,0.032,,Symbian OS,,2002_january,Nokia
