brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
,,generic,root,Unknown,12,12,4,8,0,0,0,0,,,,2002_january,
,,generic,root,CLICKTAG,16940,281,0,16940,5,5,0.000295159386068,0.000295159386068,,,,2002_january,
,,generic,root,GooglePlay,1,1,0,1,0,0,0,0,,,,2002_january,
,,generic,root,NULL,219597,219593,219593,4,0,0,0,0,,,,2002_january,
,,generic,root,WAPPIN,198,197,0,198,31,7,0.035353535353535,0.035353535353535,,,,2002_january,
,,generic,root,SMS_WAP,2,2,0,2,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,WAPPIN,21,18,0,21,1,1,0.047619047619048,0.047619047619048,,,,2002_january,
,,generic_mobile,generic,GooglePlay,1,1,0,1,1,0,0,0,,,,2002_january,
,,generic_mobile,generic,JAVA_APP,8,3,0,8,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,Unknown,108,105,102,6,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,NULL,3885,3885,3885,0,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,SMS_WAP,9,8,0,9,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,CLICKTAG,1599,841,0,1599,61,61,0.038148843026892,0.038148843026892,,,,2002_january,
,,generic_xhtml,generic_mobile,NULL,7,7,7,0,0,0,0,0,,,,2002_july,
generic web browser,,generic_web_browser,generic,CLICKTAG,2,2,0,2,0,0,0,0,,,,1994_january,
generic web browser,,generic_web_browser,generic,NULL,22,22,22,0,0,0,0,0,,,,1994_january,
Nokia,,nokia_generic_series60,nokia_generic_series40,NULL,46,46,46,0,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,CLICKTAG,156,7,0,156,0,0,0,0,,Symbian OS,,2002_january,Nokia
,,opwv_v6_generic,upgui_generic,NULL,2,2,2,0,0,0,0,0,,,,2002_january,Openwave Mobile Browser
,,opwv_v62_generic,opwv_v61_generic,NULL,3,3,3,0,0,0,0,0,,,,2003_january,Openwave Mobile Browser
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,NULL,49,49,49,0,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,CLICKTAG,20,17,0,20,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Robot,Bot or Crawler,generic_wget_based_crawler,generic_web_crawler,NULL,28,28,28,0,0,0,0,0,,,,2000_january,
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,NULL,226,226,226,0,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,CLICKTAG,94,60,0,94,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
