brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
,,generic,root,WAPPIN,54,0,0,54,3,2,0.037037037037037,0.037037037037037,,,,2002_january,
,,generic,root,NULL,46,24,24,22,0,0,0,0,,,,2002_january,
,,generic,root,Unknown,19,0,0,19,0,0,0,0,,,,2002_january,
,,generic,root,CLICKTAG,1868,0,0,1868,0,0,0,0,,,,2002_january,
,,generic,root,GooglePlay,1,0,0,1,0,0,0,0,,,,2002_january,
,,generic,root,WAP,2153,0,0,2153,27,14,0.006502554575012,0.006502554575012,,,,2002_january,
,,generic,root,SMS_WAP,3,0,0,3,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,GooglePlay,2623,0,0,2623,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,WAPPIN,979,0,0,979,4,0,0,0,,,,2002_january,
,,generic_mobile,generic,WAP,14769,0,0,14769,888,493,0.033380729907238,0.033380729907238,,,,2002_january,
,,generic_mobile,generic,Unknown,1350,0,0,1350,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,JAVA_APP,607,0,0,607,4,4,0.00658978583196,0.00658978583196,,,,2002_january,
,,generic_mobile,generic,NULL,7645,2,2,7643,14,14,0.001831262262917,0.001831741462776,,,,2002_january,
,,generic_mobile,generic,SMS_WAP,3,0,0,3,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,CLICKTAG,28372,0,0,28372,81,81,0.002854927393205,0.002854927393205,,,,2002_january,
,,generic_xhtml,generic_mobile,WAPPIN,4,0,0,4,2,1,0.25,0.25,,,,2002_july,
,,generic_xhtml,generic_mobile,Unknown,2,0,0,2,0,0,0,0,,,,2002_july,
,,generic_xhtml,generic_mobile,CLICKTAG,33,0,0,33,0,0,0,0,,,,2002_july,
,,generic_xhtml,generic_mobile,WAP,1,0,0,1,0,0,0,0,,,,2002_july,
generic web browser,,generic_web_browser,generic,WAP,50,0,0,50,2,1,0.02,0.02,,,,1994_january,
generic web browser,,generic_web_browser,generic,Unknown,6,0,0,6,0,0,0,0,,,,1994_january,
generic web browser,,generic_web_browser,generic,NULL,3,0,0,3,0,0,0,0,,,,1994_january,
generic web browser,,generic_web_browser,generic,CLICKTAG,168,0,0,168,0,0,0,0,,,,1994_january,
Nokia,,nokia_generic_series60,nokia_generic_series40,JAVA_APP,3,0,0,3,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,CLICKTAG,905,0,0,905,7,7,0.007734806629834,0.007734806629834,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,NULL,43,1,1,42,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,GooglePlay,1,0,0,1,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,WAP,232,0,0,232,18,6,0.025862068965517,0.025862068965517,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,Unknown,2,0,0,2,0,0,0,0,,Symbian OS,,2002_january,Nokia
,,opwv_v62_generic,opwv_v61_generic,CLICKTAG,2,0,0,2,0,0,0,0,,,,2003_january,Openwave Mobile Browser
,,opwv_v62_generic,opwv_v61_generic,WAPPIN,1,0,0,1,0,0,0,0,,,,2003_january,Openwave Mobile Browser
,,opwv_v62_generic,opwv_v61_generic,WAP,6,0,0,6,0,0,0,0,,,,2003_january,Openwave Mobile Browser
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,CLICKTAG,174,0,0,174,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,Unknown,5,0,0,5,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,WAP,125,0,0,125,12,11,0.088,0.088,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,NULL,2,0,0,2,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Microsoft,Windows RT Tablet,generic_windows_8_rt_msie_10,generic_windows_8_rt,CLICKTAG,2,0,0,2,0,0,0,0,,Windows RT,8,2012_october,MSIE
Robot,Bot or Crawler,generic_curl_based_crawler,generic_web_crawler,CLICKTAG,2,0,0,2,0,0,0,0,,,,2000_january,
Robot,Bot or Crawler,generic_wget_based_crawler,generic_web_crawler,CLICKTAG,1,0,0,1,0,0,0,0,,,,2000_january,
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,WAP,3,0,0,3,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,CLICKTAG,61,0,0,61,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,CLICKTAG,24,0,0,24,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,WAP,5,0,0,5,2,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,CLICKTAG,18,0,0,18,0,0,0,0,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,NULL,2,0,0,2,0,0,0,0,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,WAP,13,0,0,13,4,4,0.307692307692308,0.307692307692308,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
Mozilla,Firefox for Android Tablet,generic_android_ver2_0_fennec_tablet,generic_android_ver2_2,NULL,1,1,1,0,0,0,0,0,,Android,2.2,2012_june,Fennec
Mozilla,Firefox for Android Tablet,generic_android_ver2_0_fennec_tablet,generic_android_ver2_2,CLICKTAG,81,0,0,81,0,0,0,0,,Android,2.2,2012_june,Fennec
Mozilla,Firefox for Android Tablet,generic_android_ver2_0_fennec_tablet,generic_android_ver2_2,GooglePlay,1419,0,0,1419,2,2,0.001409443269908,0.001409443269908,,Android,2.2,2012_june,Fennec
Mozilla,Firefox for Android Tablet,generic_android_ver2_0_fennec_tablet,generic_android_ver2_2,WAP,60,0,0,60,6,5,0.083333333333333,0.083333333333333,,Android,2.2,2012_june,Fennec
HTC,Disguised as Macintosh,generic_android_htc_disguised_as_mac,generic_android_ver2,NULL,4,0,0,4,0,0,0,0,,Android,2,2009_october,Android Webkit
HTC,Disguised as Macintosh,generic_android_htc_disguised_as_mac,generic_android_ver2,GooglePlay,48,0,0,48,0,0,0,0,,Android,2,2009_october,Android Webkit
HTC,Disguised as Macintosh,generic_android_htc_disguised_as_mac,generic_android_ver2,CLICKTAG,35,0,0,35,0,0,0,0,,Android,2,2009_october,Android Webkit
HTC,Disguised as Macintosh,generic_android_htc_disguised_as_mac,generic_android_ver2,WAP,62,0,0,62,1,0,0,0,,Android,2,2009_october,Android Webkit
Generic,Windows Phone 7.5,generic_ms_phone_os7_5_desktopmode,generic_ms_phone_os7_5,CLICKTAG,108,0,0,108,0,0,0,0,,Windows Phone OS,7.5,2011_july,IEMobile
Generic,Windows Phone 7.5,generic_ms_phone_os7_5_desktopmode,generic_ms_phone_os7_5,WAP,22,0,0,22,1,1,0.045454545454546,0.045454545454546,,Windows Phone OS,7.5,2011_july,IEMobile
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,Unknown,6,0,0,6,0,0,0,0,,Android,4.1,2011_december,Android Webkit
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,WAPPIN,8,0,0,8,0,0,0,0,,Android,4.1,2011_december,Android Webkit
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,NULL,39,29,29,10,0,0,0,0,,Android,4.1,2011_december,Android Webkit
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,CLICKTAG,592,3,0,592,0,0,0,0,,Android,4.1,2011_december,Android Webkit
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,GooglePlay,5626,0,0,5626,19,19,0.003377177390686,0.003377177390686,,Android,4.1,2011_december,Android Webkit
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,WAP,1407,0,0,1407,87,50,0.035536602700782,0.035536602700782,,Android,4.1,2011_december,Android Webkit
Generic,J2ME Midlet,generic_midp_midlet,generic_mobile,CLICKTAG,2645,0,0,2645,28,28,0.010586011342155,0.010586011342155,,,,2006_january,
