page,name
0,UnKnown
1,Animal
2,Animal_wp
3,Annoy
4,AyoTech
5,bond
6,Camel
8,dhoom2
9,DHW
10,dudu
11,enrique
12,extreme
13,friends
14,Frog
15,funny
16,FunnyArabic
17,FunnyEnglish
18,Games
19,gamesar
20,GamesEn
21,golden
22,guinness
23,IndiaWAP_Page1
24,IndiaWAP_Page2
25,IndiaWeb
26,Jodhaa
27,KR
28,love
29,MI
30,morse
31,mozook
32,prison
33,razor
34,romeo
35,Senden
36,shakira
37,silent
38,singtone
39,specialoffer
40,subandwin
41,tarkan
42,tatil
43,umbrella
44,video
45,VideoTM
46,VideoOfDay
47,WAP_Mobily
48,wap_turkey_conversion_pixel
49,wap_turkey_video_cnvrsn_pxl
50,wap_turkey_video_subs
51,wap_turkey_video_visits
52,wap_turkey_visit_track
53,WAP_UAE_Video
54,WAP_UAE_Video_smsTag
55,Default
56,DefaultGames
57,DefaultVideos
58,bean
59,mvideo
60,mbean
61,heart
62,rabbit
63,chicken
64,chickvid
65,jungle
66,Jurassic
67,Bug
68,scary
69,nancy
70,sixdownloads
71,chicken3d
72,scaryvideo
73,sixdownloads2
74,cold
75,FreeTrial
76,fun
77,sixdownloads3
78,sixdownloads4
79,100Kontor
80,sixdownloads5
81,100kontor2
82,xray
83,sheep
84,radar
85,clubir
86,FastAndSerious
87,IQtest
88,IQRussia
89,ScaryRussia
90,CrazyChickenRussia
91,mobvideo320
92,mobvideo
93,MobileTricks
94,MobileTricksRussia
95,ScaryIraq
96,alien
97,AlienRussia
98,baby
99,LoveTest
100,LoveTestRussia
101,Chicken2
102,Valentine
103,RussiaGames
104,IQService
105,button
106,eggs
107,rolegs
108,AzherbaijaniMozookFunClub
109,Frogs
110,mysterious
111,b2t
112,LoveCalculator
113,energy
114,vuvuzela
115,cars
116,PersonalityTest
117,Mozook Video wap
118,Ninja
119,vipgames
120,vipgames-trial
121,Download2PC
123,AzherbaijaniFreeTrial
124,FunClub
125,wabits
126,samba
127,pharaohs
128,MoxiTalk
129,WallPapersMozookWeb
131,CountrySelect
132,countryselectmob
134,Index
135,AzerSupport
136,tricks2
137,vipgames-quicktaxi
138,vipgames-mobilestyle
139,Mozook Xray wap
140,Mozook Ringtone wap
141,Greetings
142,Mozook Video wap
143,vipgames-ipad
144,Mozook Video wap
145,Mozook Video wap
146,SheepSong
147,Mozook Video wap
148,IQ_ru_test
149,PuzzleMania
150,GangWars
