brand_name,model_name,wurfl_device_id,wurfl_fall_back,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
,,generic,root,13982,9968,9524,4458,18,13,0.000929766843084,0.002916105877075,,,,2002_january,
,,generic_mobile,generic,28318,24735,21227,7091,215,208,0.00734515149375,0.029332957269779,,,,2002_january,
,,generic_xhtml,generic_mobile,186,186,185,1,0,0,0,0,,,,2002_july,
generic web browser,,generic_web_browser,generic,54,48,43,11,0,0,0,0,,,,1994_january,
Nokia,,nokia_generic_series60,nokia_generic_series40,722,350,280,442,15,15,0.020775623268698,0.03393665158371,,Symbian OS,,2002_january,Nokia
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,124,111,85,39,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Robot,Bot or Crawler,generic_curl_based_crawler,generic_web_crawler,4,4,4,0,0,0,0,0,,,,2000_january,
Robot,Bot or Crawler,generic_wget_based_crawler,generic_web_crawler,51,51,51,0,0,0,0,0,,,,2000_january,
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,1084,948,760,324,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,54,24,22,32,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,78,22,12,66,0,0,0,0,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
Mozilla,Firefox for Android Tablet,generic_android_ver2_0_fennec_tablet,generic_android_ver2_2,5850,2803,2264,3586,29,29,0.004957264957265,0.00808700501952,,Android,2.2,2012_june,Fennec
HTC,Disguised as Macintosh,generic_android_htc_disguised_as_mac,generic_android_ver2,776,579,500,276,2,2,0.002577319587629,0.007246376811594,,Android,2,2009_october,Android Webkit
Generic,Windows Phone 7.5,generic_ms_phone_os7_5_desktopmode,generic_ms_phone_os7_5,106,102,99,7,0,0,0,0,,Windows Phone OS,7.5,2011_july,IEMobile
Generic,Android 4.1,generic_android_ver4_1,generic_android_ver4,13892,6724,5235,8657,40,40,0.002879355024475,0.004620538292711,,Android,4.1,2011_december,Android Webkit
Generic,J2ME Midlet,generic_midp_midlet,generic_mobile,2229,1057,911,1318,14,14,0.006280843427546,0.01062215477997,,,,2006_january,
Opera,Mobi for Android,generic_android_ver4_0_opera_mobi_11,generic_android_ver4_0_opera_mobi,71,39,35,36,1,1,0.014084507042254,0.027777777777778,,Android,4,2011_november,Opera Mobi
Generic,Android 4.0,generic_android_ver4,generic_android_ver2_4,48007,21609,16236,31771,112,112,0.002332993105172,0.003525227408643,,Android,4,2011_october,Android Webkit
Generic,Android 2.3,generic_android_ver2_3_ucweb,generic_android_ver2_3,75,43,31,44,0,0,0,0,,Android,2.3,2010_november,UCWeb
Generic,Android 2.1,generic_android_ver2_1_ucweb,generic_android_ver2_1,1,1,0,1,0,0,0,0,,Android,2.1,2009_october,UCWeb
Generic,Android 2.0,generic_android_ver2_0_ucweb,generic_android_ver2,126,71,49,77,0,0,0,0,,Android,2,2009_october,UCWeb
Mozilla,Firefox for Android,generic_android_ver2_0_fennec,generic_android_ver2_2,65356,33672,26437,38919,574,574,0.008782667237897,0.014748580384902,,Android,2.2,2012_june,Fennec
Opera,Tablet on Android,generic_android_ver3_2_opera_tablet,generic_android_ver3_2,240,110,86,154,2,2,0.008333333333333,0.012987012987013,,Android,3.2,2011_february,Opera Tablet
Opera,Tablet on Android,generic_android_ver2_3_opera_tablet,generic_android_ver2_3,47,21,17,30,0,0,0,0,,Android,2.3,2011_october,Opera Tablet
Opera,Mobi for Android,generic_android_ver2_3_opera_mobi_11,generic_android_ver2_3_opera_mobi,271,104,88,183,3,3,0.011070110701107,0.016393442622951,,Android,2.3,2010_november,Opera Mobi
Opera,Mobi for Android,generic_android_ver2_2_opera_mobi_11,generic_android_ver2_2_opera_mobi,17,9,8,9,1,1,0.058823529411765,0.111111111111111,,Android,2.2,2009_october,Opera Mobi
Opera,Mobi for Android,generic_android_ver2_2_opera_mobi,generic_android_ver2_2,6,4,4,2,0,0,0,0,,Android,2.2,2009_october,Opera Mobi
Generic,Android 2.0,generic_android_ver2_0_opera_mobi,generic_android_ver2,11123,5309,4524,6599,86,86,0.007731727052054,0.013032277617821,,Android,2,2009_october,Opera Mobi
Opera,Mini 5,generic_opera_mini_android_version5,generic_opera_mini_android_version4,14345,8847,6611,7734,163,163,0.011362844196584,0.02107576933023,,Android,2,2009_september,Opera Mini
Nokia,unrecognized OVI Browser,nokia_generic_series40_ovibrosr,nokia_generic_series40_dp50,2159,2158,1900,259,0,0,0,0,,,,2010_july,Nokia Proxy Browser
Generic,Windows Phone 7.5,generic_ms_phone_os7_5,generic_ms_phone_os7,743,667,607,136,0,0,0,0,,Windows Phone OS,7.5,2011_july,IEMobile
Generic,Android 3.2,generic_android_ver3_2,generic_android_ver3_1,34,14,13,21,0,0,0,0,,Android,3.2,2011_february,Android Webkit
Generic,SmartTV,generic_smarttv_browser,generic_web_browser,10,10,5,5,0,0,0,0,,,,2011_january,
Nokia,,nokia_generic_meego,generic_xhtml,62,7,7,55,0,0,0,0,,MeeGo,1.2,2011_june,
Generic,Android 3.1,generic_android_ver3_1,generic_android_ver3_0,52,19,17,35,0,0,0,0,,Android,3.1,2011_february,Android Webkit
Generic,Windows Phone 7,generic_ms_phone_os7_desktopmode,generic_ms_phone_os7,1,1,0,1,0,0,0,0,,Windows Phone OS,7,2010_february,IEMobile
Generic,Android 2.3,generic_android_ver2_3,generic_android_ver2_2,51990,24468,18095,33895,271,271,0.005212540873245,0.007995279539755,,Android,2.3,2010_november,Android Webkit
Generic,Windows Mobile (Opera),generic_winmo_opera_sub1000beta,generic_winmo_opera,3,3,3,0,0,0,0,0,,Windows Mobile OS,,2010_march,Opera
Nokia,Generic Maemo,nokia_generic_maemo,generic_xhtml,4,4,4,0,0,0,0,0,,Linux Smartphone OS,,2008_july,Firefox
Generic,Android 2.2,generic_android_ver2_2,generic_android_ver2_1,751,352,307,444,1,1,0.00133155792277,0.002252252252252,,Android,2.2,2009_october,Android Webkit
Nokia,Generic Maemo with Fennec,generic_opera_mobi_maemo,nokia_generic_maemo_with_firefox,26,25,19,7,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Generic,Windows Phone 7,generic_ms_phone_os7,generic_xhtml,3,3,3,0,0,0,0,0,,Windows Phone OS,7,2010_february,IEMobile
